dish_category,dish_photo_url,dish_photo_credit,dish_name,restaurant_name,rest_rating,rest_hours,rest_address,rest_city,rest_state,rest_cip
Brunch,https://www.instagram.com/p/Bvcz8MeFDt2/,chanson,Stuffed French Toast,,,,,,NY,
Brunch,,,Jim Cade Breakfast,Peaches,,,,,NY,
Brunch,,treatyoselfny,Japanese-style Banana Hotcakes Foster,Bessou,,,,,NY,
Burgers,,theainsworth,Mac Burger,The Ainsworth,,,,,NY,
Burgers,,,Single Cheeseburger with Egg,Au Cheval Diner,,,,,NY,
Burgers,,,Ramen Burger,Kogane Ramen,,,,,NY,
Mexican,,brunchbucketlist,Burrata Taco,Cantina Rooftop,,,,,NY,
Mexican,,empellon,Breakfast Burrito,Empellon Taqueria,,,,,NY,
Mexican,,empellon,Quail egg sopes with refried black beans,Empellon Taqueria,,,,,NY,
Pizza,,,,Best Pizza,,,600 11th Avenue,,NY,
Pizza,,,,Paulie Gees,,,,,NY,
Pizza,,,,Patsys Pizza,,,,,NY,
Sushi,,,,,,,,,NY,
Sushi,,,,,,,,,NY,
Sushi,,,,,,,,,NY,
Happy Hour,,,,,,,,,NY,
Happy Hour,,,,,,,,,NY,
Happy Hour,,,,,,,,,NY,
Healthy,,,,,,,,,NY,
Healthy,,,,,,,,,NY,
Healthy,,,,,,,,,NY,
Pasta,,,Cacio e Pepe,Via Carota,,,,,NY,
Pasta,,,,,,,,,NY,
Pasta,,,,,,,,,NY,
Dessert,https://www.instagram.com/p/BH0WST4jy_n/,oliviamowrer,Macaroon Ice Cream Sandwich,Macaron Parlour,,,,,NY,
Dessert,,noleftovers,Peruvian limes paired with touche marshmallows ,Llamita,,,,,NY,
Dessert,,,,,,,,,NY,
,,,,,,,,,,
Brunch,https://www.instagram.com/p/Bu7gqfVAlv2/,burgerchild,"""The Hoss"" Biscuit sandwich",Sweet Lake Biscuit Co,4.5,,54 W 1700 S,84115,UT,
Brunch,https://www.instagram.com/sofarsogoodblog/,sofarsogood,"""The cure"" breakfast ramen",Purgatory Bar,4.7,,62 East 700 South,84111,UT,
Brunch,,,,,,,,,UT,
Burgers,https://www.instagram.com/p/BuHNuMGHkZp/,cheddaburgerut,"""La tula"" burger with crusted guac, pickled red onions, jalepeno mayo",Chedda Burger,4.3,,26 E 600 S,84111,UT,
Burgers,,,,,,,,,UT,
Burgers,,,,,,,,,UT,
Mexican,,,,,,,,,UT,
Mexican,,,,,,,,,UT,
Mexican,,,,,,,,,UT,
Pizza,,,,,,,,,UT,
Pizza,,,,,,,,,UT,
Pizza,,,,,,,,,UT,
Sushi,,,,,,,,,UT,
Sushi,,,,,,,,,UT,
Sushi,,,,,,,,,UT,
Happy Hour,,,,,,,,,UT,
Happy Hour,,,,,,,,,UT,
Happy Hour,,,,,,,,,UT,
Healthy,,,,,,,,,UT,
Healthy,,,,,,,,,UT,
Healthy,,,,,,,,,UT,
Pasta,,,,,,,,,UT,
Pasta,,,,,,,,,UT,
Pasta,,,,,,,,,UT,
Dessert,https://www.instagram.com/p/BvMvybWlC6T/,lastcourse_,Lemon stack crepe cake,,,,115 South Regent St,84111,UT,
Dessert,,,,,,,,,UT,
Dessert,,,,,,,,,UT,
